Question Number,Block,Question Text,Question Type,Choices,Matrix Scale Points,Display Logic
1350,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1351,,What is your phone number?,Text Entry,,,
1352,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1353,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1354,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1355,,Where are you from?,Text Entry,,,
1356,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1357,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1358,,What is your phone number?,Text Entry,,,
1359,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1360,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1361,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1362,,Where are you from?,Text Entry,,,
1363,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1364,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1365,,What is your phone number?,Text Entry,,,
1366,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1367,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1368,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1369,,Where are you from?,Text Entry,,,
1370,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1371,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1372,,What is your phone number?,Text Entry,,,
1373,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1374,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1375,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1376,,Where are you from?,Text Entry,,,
1377,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1378,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1379,,What is your phone number?,Text Entry,,,
1380,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1381,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1382,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1383,,Where are you from?,Text Entry,,,
1384,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1385,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1386,,What is your phone number?,Text Entry,,,
1387,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1388,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1389,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1390,,Where are you from?,Text Entry,,,
1391,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1392,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1393,,What is your phone number?,Text Entry,,,
1394,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1395,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1396,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1397,,Where are you from?,Text Entry,,,
1398,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1399,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1400,,What is your phone number?,Text Entry,,,
1401,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1402,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1403,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1404,,Where are you from?,Text Entry,,,
1405,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1406,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1407,,What is your phone number?,Text Entry,,,
1408,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1409,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1410,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1411,,Where are you from?,Text Entry,,,
1412,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1413,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1414,,What is your phone number?,Text Entry,,,
1415,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1416,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1417,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1418,,Where are you from?,Text Entry,,,
1419,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1420,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1421,,What is your phone number?,Text Entry,,,
1422,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1423,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1424,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1425,,Where are you from?,Text Entry,,,
1426,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1427,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1428,,What is your phone number?,Text Entry,,,
1429,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1430,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1431,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1432,,Where are you from?,Text Entry,,,
1433,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1434,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1435,,What is your phone number?,Text Entry,,,
1436,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1437,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1438,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1439,,Where are you from?,Text Entry,,,
1440,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1441,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1442,,What is your phone number?,Text Entry,,,
1443,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1444,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1445,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1446,,Where are you from?,Text Entry,,,
1447,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1448,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1449,,What is your phone number?,Text Entry,,,
1450,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1451,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1452,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1453,,Where are you from?,Text Entry,,,
1454,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1455,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1456,,What is your phone number?,Text Entry,,,
1457,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1458,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1459,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1460,,Where are you from?,Text Entry,,,
1461,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1462,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1463,,What is your phone number?,Text Entry,,,
1464,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1465,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1466,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1467,,Where are you from?,Text Entry,,,
1468,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1469,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1470,,What is your phone number?,Text Entry,,,
1471,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1472,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1473,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1474,,Where are you from?,Text Entry,,,
1475,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1476,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1477,,What is your phone number?,Text Entry,,,
1478,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1479,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1480,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1481,,Where are you from?,Text Entry,,,
1482,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1483,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1484,,What is your phone number?,Text Entry,,,
1485,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1486,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1487,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1488,,Where are you from?,Text Entry,,,
1489,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1490,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1491,,What is your phone number?,Text Entry,,,
1492,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1493,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1494,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1495,,Where are you from?,Text Entry,,,
1496,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1497,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1498,,What is your phone number?,Text Entry,,,
1499,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1500,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1501,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1502,,Where are you from?,Text Entry,,,
1503,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1504,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1505,,What is your phone number?,Text Entry,,,
1506,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1507,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1508,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1509,,Where are you from?,Text Entry,,,
1510,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1511,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1512,,What is your phone number?,Text Entry,,,
1513,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1514,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1515,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1516,,Where are you from?,Text Entry,,,
1517,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1518,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1519,,What is your phone number?,Text Entry,,,
1520,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1521,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1522,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1523,,Where are you from?,Text Entry,,,
1524,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1525,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1526,,What is your phone number?,Text Entry,,,
1527,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1528,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1529,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1530,,Where are you from?,Text Entry,,,
1531,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1532,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1533,,What is your phone number?,Text Entry,,,
1534,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1535,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1536,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1537,,Where are you from?,Text Entry,,,
1538,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1539,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1540,,What is your phone number?,Text Entry,,,
1541,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1542,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1543,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1544,,Where are you from?,Text Entry,,,
1545,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1546,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1547,,What is your phone number?,Text Entry,,,
1548,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1549,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1550,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1551,,Where are you from?,Text Entry,,,
1552,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1553,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1554,,What is your phone number?,Text Entry,,,
1555,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1556,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1557,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1558,,Where are you from?,Text Entry,,,
1559,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1560,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1561,,What is your phone number?,Text Entry,,,
1562,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1563,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1564,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1565,,Where are you from?,Text Entry,,,
1566,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1567,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1568,,What is your phone number?,Text Entry,,,
1569,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1570,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1571,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1572,,Where are you from?,Text Entry,,,
1573,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1574,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1575,,What is your phone number?,Text Entry,,,
1576,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1577,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1578,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1579,,Where are you from?,Text Entry,,,
1580,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1581,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1582,,What is your phone number?,Text Entry,,,
1583,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1584,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1585,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1586,,Where are you from?,Text Entry,,,
1587,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1588,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1589,,What is your phone number?,Text Entry,,,
1590,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1591,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1592,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1593,,Where are you from?,Text Entry,,,
1594,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1595,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1596,,What is your phone number?,Text Entry,,,
1597,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1598,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1599,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1600,,Where are you from?,Text Entry,,,
1601,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1602,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1603,,What is your phone number?,Text Entry,,,
1604,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1605,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1606,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1607,,Where are you from?,Text Entry,,,
1608,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1609,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1610,,What is your phone number?,Text Entry,,,
1611,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1612,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1613,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1614,,Where are you from?,Text Entry,,,
1615,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1616,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1617,,What is your phone number?,Text Entry,,,
1618,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1619,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1620,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1621,,Where are you from?,Text Entry,,,
1622,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1623,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1624,,What is your phone number?,Text Entry,,,
1625,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1626,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1627,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1628,,Where are you from?,Text Entry,,,
1629,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1630,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1631,,What is your phone number?,Text Entry,,,
1632,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1633,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1634,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1635,,Where are you from?,Text Entry,,,
1636,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1637,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1638,,What is your phone number?,Text Entry,,,
1639,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1640,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1641,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1642,,Where are you from?,Text Entry,,,
1643,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1644,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1645,,What is your phone number?,Text Entry,,,
1646,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1647,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1648,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1649,,Where are you from?,Text Entry,,,
1650,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1651,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1652,,What is your phone number?,Text Entry,,,
1653,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1654,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1655,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1656,,Where are you from?,Text Entry,,,
1657,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1658,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1659,,What is your phone number?,Text Entry,,,
1660,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1661,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1662,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1663,,Where are you from?,Text Entry,,,
1664,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1665,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1666,,What is your phone number?,Text Entry,,,
1667,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1668,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1669,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1670,,Where are you from?,Text Entry,,,
1671,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1672,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1673,,What is your phone number?,Text Entry,,,
1674,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1675,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1676,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1677,,Where are you from?,Text Entry,,,
1678,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1679,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1680,,What is your phone number?,Text Entry,,,
1681,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
